THỜI KHÓA BIỂU DỰ KIẾN KỲ 20251 - CẬP NHẬT NGÀY 12.09.2025,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Kỳ,Trường_Viện_Khoa,Mã_lớp,Mã_lớp_kèm,Mã_HP,Tên_HP,Tên_HP_Tiếng_Anh,Khối_lượng,Ghi_chú,Buổi_số,Thứ,Thời_gian,BĐ,KT,Kíp,Tuần,Phòng,Cần_TN,SLĐK,SL_Min,SL_Max,Trạng_thái,Loại_lớp,Đợt_mở,Mã_QL,TeachingType
20251,THKHSS,759255,759255,BF2511E,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,1(1-0-1-2),M1,1,2,1315-1730,2,6,Chiều,"7,8,9",TTB4,NULL,15,NULL,15,Kết thúc ĐK,TN,AB,ELITECH,
20251,THKHSS,759256,759256,BF2511E,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,1(1-0-1-2),M2,1,2,1315-1730,2,6,Chiều,"7,8,9",TTB4,NULL,12,NULL,15,Kết thúc ĐK,TN,AB,ELITECH,
20251,THKHSS,759257,759257,BF2511E,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,1(1-0-1-2),M3,1,3,1315-1730,2,6,Chiều,"7,8,9",TTB4,NULL,13,NULL,15,Kết thúc ĐK,TN,AB,ELITECH,
20251,THKHSS,759258,759258,BF2511E,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,1(1-0-1-2),M4,1,3,1315-1730,2,6,Chiều,"7,8,9",TTB4,NULL,7,NULL,15,Kết thúc ĐK,TN,AB,ELITECH,
20251,THKHSS,162003,162003,BF2571E,Kỹ thuật các quá trình CNTP I,Processes in Food engineering I,2(2-0-1-4),**CTTT Thực phẩm 01-K69S,1,2,0825-1005,3,4,Sáng,"2-9,11-19",D8-303,TN,24,NULL,35,Kết thúc ĐK,LT+BT,AB,ELITECH,
20251,THKHSS,162004,162004,BF2571E,Kỹ thuật các quá trình CNTP I,Processes in Food engineering I,2(2-0-1-4),**CTTT Thực phẩm 02-K69S,1,2,1015-1145,5,6,Sáng,"2-9,11-19",D8-303,TN,27,NULL,35,Kết thúc ĐK,LT+BT,AB,ELITECH,
20251,THKHSS,758607,758607,BF2571E,Kỹ thuật các quá trình CNTP I,Processes in Food engineering I,2(2-0-1-4),HE1,1,2,1315-1730,2,6,Chiều,"15,16,17",C4-301,NULL,16,NULL,16,Kết thúc ĐK,TN,AB,ELITECH,
20251,THKHSS,758607,758607,BF2571E,Kỹ thuật các quá trình CNTP I,Processes in Food engineering I,2(2-0-1-4),HE1,1,2,1315-1730,2,6,Chiều,"15,16,17",TTB4,NULL,16,NULL,16,Kết thúc ĐK,TN,AB,ELITECH,
20251,THKHSS,758608,758608,BF2571E,Kỹ thuật các quá trình CNTP I,Processes in Food engineering I,2(2-0-1-4),HE2,1,3,1315-1730,2,6,Chiều,"15,16,17",TTB4,NULL,16,NULL,16,Kết thúc ĐK,TN,AB,ELITECH,
20251,THKHSS,758608,758608,BF2571E,Kỹ thuật các quá trình CNTP I,Processes in Food engineering I,2(2-0-1-4),HE2,1,3,1315-1730,2,6,Chiều,"15,16,17",C4-301,NULL,16,NULL,16,Kết thúc ĐK,TN,AB,ELITECH,
