THỜI KHÓA BIỂU DỰ KIẾN KỲ 20252 - CẬP NHẬT NGÀY 23.02.2026,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Kỳ,Trường_Viện_Khoa,Mã_lớp,Mã_lớp_kèm,Mã_HP,Tên_HP,Tên_HP_Tiếng_Anh,Khối_lượng,Ghi_chú,Buổi_số,Thứ,Thời_gian,BĐ,KT,Kíp,Tuần,Phòng,Cần_TN,SLĐK,SL_Max,Trạng_thái,Loại_lớp,Đợt_mở,Mã_QL,TeachingType
20252,TDDT,765467,765467,AC4140E,Lập trình web và ứng dụng di động,Web and mobile application,3(3-0-1-6),LTW&DD_03,1,4,1245-1445,1245,1445,Chiều,"28,32,36",D8-1004,NULL,1,12,Điều chỉnh ĐK,TN,AB,ELITECH,
20252,TDDT,765468,765468,AC4140E,Lập trình web và ứng dụng di động,Web and mobile application,3(3-0-1-6),LTW&DD_04,1,5,1245-1445,1245,1445,Chiều,"28,32,36",D8-1004,NULL,11,12,Điều chỉnh ĐK,TN,AB,ELITECH,
20252,TDDT,765469,765469,AC4140E,Lập trình web và ứng dụng di động,Web and mobile application,3(3-0-1-6),LTW&DD_05,1,6,1245-1445,1245,1445,Chiều,"28,32,36",D8-1004,NULL,12,12,Điều chỉnh ĐK,TN,AB,ELITECH,
20252,TDDT,168038,168038,AC4150E,Tương tác người - máy,Human machine interaction,2(2-1-0-4),**CTTT-Đa phương tiện-K68S,1,5,0920-1145,4,6,Sáng,"25-32,34-42",C7-107,NULL,41,45,Điều chỉnh ĐK,LT+BT,AB,ELITECH,
20252,THKHSS,168234,168234,BF1016,Sinh học đại cương,General Biology,4(3-1-0.5-8),**CTTT-Y sinh-K69C,1,2,1505-1645,4,5,Chiều,"25-32,34-42",D6-303,TN,56,60,Điều chỉnh ĐK,LT+BT,AB,ELITECH,
20252,THKHSS,168234,168234,BF1016,Sinh học đại cương,General Biology,4(3-1-0.5-8),**CTTT-Y sinh-K69C,2,5,1230-1400,1,2,Chiều,"25-32,34-42",C7-236,TN,56,60,Điều chỉnh ĐK,LT+BT,AB,ELITECH,
20252,THKHSS,763996,763996,BF1016,Sinh học đại cương,General Biology,4(3-1-0.5-8),YSESD1,1,2,0730-1145,2,6,Sáng,40-42,C4-401A,NULL,17,20,Điều chỉnh ĐK,TN,AB,CT CHUẨN,
20252,THKHSS,763997,763997,BF1016,Sinh học đại cương,General Biology,4(3-1-0.5-8),YSESD2,1,3,0730-1145,2,6,Sáng,40-42,C4-401A,NULL,20,20,Điều chỉnh ĐK,TN,AB,CT CHUẨN,
20252,THKHSS,763998,763998,BF1016,Sinh học đại cương,General Biology,4(3-1-0.5-8),YSESD3,1,4,0730-1145,2,6,Sáng,40-42,C4-401A,NULL,19,20,Điều chỉnh ĐK,TN,AB,CT CHUẨN,
20252,THKHSS,169620,169620,BF2020,Technical Writing and Presentation,Technical Writing and Presentation,3(2-2-0-6),Sinh học-Thực phẩm-K68C,1,6,1410-1730,3,6,Chiều,"25-32,34-42",D7-301,NULL,43,42,Điều chỉnh ĐK,LT+BT,AB,CT CHUẨN,
20252,THKHSS,169621,169621,BF2020,Technical Writing and Presentation,Technical Writing and Presentation,3(2-2-0-6),Sinh học-Thực phẩm-K68S,1,2,0645-1005,1,4,Sáng,"25-32,34-42",D3-106,NULL,42,42,Điều chỉnh ĐK,LT+BT,AB,CT CHUẨN,
20252,THKHSS,169622,169622,BF2020,Technical Writing and Presentation,Technical Writing and Presentation,3(2-2-0-6),Sinh học-Thực phẩm-K68S,1,2,1015-1145,5,6,Sáng,"25-32,34-42",D6-304 ,NULL,5,40,Huỷ lớp,LT+BT,AB,CT CHUẨN,
20252,THKHSS,169622,169622,BF2020,Technical Writing and Presentation,Technical Writing and Presentation,3(2-2-0-6),Sinh học-Thực phẩm-K68S,2,5,1015-1145,5,6,Sáng,"25-32,34-42",D6-304 ,NULL,5,40,Huỷ lớp,LT+BT,AB,CT CHUẨN,
20252,THKHSS,169623,169623,BF2020,Technical Writing and Presentation,Technical Writing and Presentation,3(2-2-0-6),Sinh học-Thực phẩm-K68S,1,5,0645-1005,1,4,Sáng,"25-32,34-42",D6-304 ,NULL,33,40,Điều chỉnh ĐK,LT+BT,AB,CT CHUẨN,
20252,THKHSS,169624,169624,BF2020,Technical Writing and Presentation,Technical Writing and Presentation,3(2-2-0-6),Sinh học-Thực phẩm-K68S,1,3,0645-1005,1,4,Sáng,"25-32,34-42",D6-304 ,NULL,39,40,Điều chỉnh ĐK,LT+BT,AB,CT CHUẨN,
20252,THKHSS,169625,169625,BF2020,Technical Writing and Presentation,Technical Writing and Presentation,3(2-2-0-6),Sinh học-Thực phẩm-K68S,1,3,1015-1145,5,6,Sáng,"25-32,34-42",D6-304 ,NULL,28,40,Điều chỉnh ĐK,LT+BT,AB,CT CHUẨN,
20252,THKHSS,169625,169625,BF2020,Technical Writing and Presentation,Technical Writing and Presentation,3(2-2-0-6),Sinh học-Thực phẩm-K68S,2,6,1015-1145,5,6,Sáng,"25-32,34-42",D6-304 ,NULL,28,40,Điều chỉnh ĐK,LT+BT,AB,CT CHUẨN,
20252,THKHSS,169626,169626,BF2020,Technical Writing and Presentation,Technical Writing and Presentation,3(2-2-0-6),Sinh học-Thực phẩm-K68S,1,6,0645-1005,1,4,Sáng,"25-32,34-42",D6-304 ,NULL,40,40,Điều chỉnh ĐK,LT+BT,AB,CT CHUẨN,
20252,THKHSS,168251,168251,BF2572E,Kỹ thuật các Quá trình trong CNTP II ,Processes in Food engineering II,3(2-1-1-6),**CTTT-Thực phẩm-K69C,1,4,1230-1455,1,3,Chiều,"25-32,34-42",C7-119,TN,33,35,Điều chỉnh ĐK,LT+BT,AB,ELITECH,
20252,THKHSS,168252,168252,BF2572E,Kỹ thuật các Quá trình trong CNTP II ,Processes in Food engineering II,3(2-1-1-6),**CTTT-Thực phẩm-K69C,1,4,1505-1730,4,6,Chiều,"25-32,34-42",C7-119,TN,36,36,Điều chỉnh ĐK,LT+BT,AB,ELITECH,
20252,THKHSS,762790,762790,BF2572E,Kỹ thuật các Quá trình trong CNTP II ,Processes in Food engineering II,3(2-1-1-6),N1,1,2,0730-1145,2,6,Sáng,"34,35,36",C4-301,NULL,17,18,Điều chỉnh ĐK,TN,AB,ELITECH,
20252,THKHSS,762790,762790,BF2572E,Kỹ thuật các Quá trình trong CNTP II ,Processes in Food engineering II,3(2-1-1-6),N1,1,2,0730-1145,2,6,Sáng,"34,35,36",TTB4,NULL,17,18,Điều chỉnh ĐK,TN,AB,ELITECH,
