code,name,duration,credits,tuition_credits,department,prerequisite,english_name,weight
CH4682,Anh văn chuyên ngành,2(1-2-0-4),2,3,THKHSS,CH3600,English for Printing,0.75
CH4684,Kiểm soát chất lượng in,3(2-2-0-6),3,4,THKHSS,"CH3640,CH4666",Printing quality control,0.75
CH4686,Thí nghiệm chuyên ngành 1,2(0-0-6-6),2,6,THKHSS,,Advanced Experiments 1,0.75
CH4688,Thí nghiệm chuyên ngành 2,3(0-0-9-9),3,9,THKHSS,"CH4666, CH4668, CH4670, CH4684",Advanced Experiments 2,0.75
CH4690,Thực tập nhận thức,3(0-0-6-12),3,6,THKHSS,,Introductory Practicum,0.75
CH4692,Thực tập kỹ thuật,2(0-0-4-4),2,4,TVL,,Engineering Practicum,0.75
CH4700,Hoàn thiện sản phẩm in,3(3-0-1-6),3,4.5,THKHSS,CH3600,Finishing and Binding,0.7
CH4701,Đồ án tổ chức sản xuất in,3(0-0-6-6),3,6,THKHSS,CH4674=,Project in Print Production,0.7
CH4702,TN chuyên ngành kỹ thuật in,3(0-0-6-6),3,9,THKHSS,"CH3640,CH4666",Advanced Experiments in Printing Tech.,0.7
CH4710,Thiết kế đồ họa,3(2-2-0-6),3,4,THKHSS,CH3600,Graphic Design,0.7
CH4711,Đồ án thiết kế sản phẩm truyền thông,3(0-0-6-6),3,6,THKHSS,CH4713,Project in Media Design,0.7
CH4712,TN CN kỹ thuật đồ họa,2(0-0-4-4),2,6,THKHSS,CH4713,Graphics Lab,0.7
CH4713,"Thiết kế, trình bày sản phẩm in truyền thông",3(2-2-0-6),3,4,THKHSS,CH3600,Packaging design,0.7
CH4714,Hệ thống quản lý màu,2(2-1-0-4),2,3,TVL,"(CH3610/CH3612),(CH3641/CH3640)",Color Management Systems,0.7
CH4715,Chuyên đề,2(2-1-0-4),2,3,THKHSS,,Special Topics,0.7
CH4716,Cơ sở thiết kế nhà máy in,3(3-1-0-6),3,4,THKHSS,CH3600,Fundamentals of Printing Factory Design,0.75
CH4720,Kỹ thuật chế khuôn in,2(2-1-0-4),2,3,TVL,"(CH3631/CH3630),(CH3009=)/(CH3227=)",Plate Making,0.6
CH4721,Thí nghiệm chế khuôn,1(0-0-2-2),1,3,TVL,,Plate Making Lab,0.7
CH4722,Thí nghiệm in số,1(0-0-2-2),1,3,TVL,,Digital Printing Lab,0.7
CH4723,Kỹ thuật gia công đóng sách,2(2-1-0-4),2,3,TVL,,Book Binding and finsishing,0.7
